* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	999.9	[Ohms]
Fs   	0	[Hz]
Zm   	0	[Ohms]
BL   	0	[N/A]
Qms  	0
Qes  	0
Qts  	0
Vas  	0 	[liters]
L10k 	0	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
221.577    	1001.989    	0.031    
228.070    	1001.448    	0.017    
234.753    	1001.931    	0.049    
241.632    	1001.501    	0.013    
248.712    	1002.216    	0.019    
256.000    	1001.329    	0.012    
263.501    	1001.591    	0.054    
271.223    	1001.682    	0.013    
279.170    	1001.628    	0.030    
287.350    	1001.836    	0.014    
295.770    	1001.496    	0.019    
304.437    	1001.747    	0.035    
313.358    	1001.766    	0.039    
322.540    	1001.804    	0.031    
331.991    	1001.851    	0.013    
341.719    	1001.632    	0.007    
351.732    	1001.620    	0.029    
362.039    	1001.860    	0.046    
372.647    	1001.734    	0.020    
383.567    	1001.870    	0.051    
394.806    	1001.676    	0.049    
406.375    	1001.899    	0.026    
418.282    	1001.921    	0.043    
430.539    	1001.808    	0.017    
443.155    	1001.849    	0.050    
456.140    	1001.726    	0.043    
469.506    	1001.706    	0.043    
483.264    	1001.683    	0.029    
497.424    	1001.775    	0.034    
512.000    	1001.789    	0.052    
527.003    	1001.740    	0.046    
542.445    	1002.057    	0.038    
558.340    	1001.749    	0.017    
574.701    	1001.429    	0.062    
591.541    	1001.489    	0.066    
608.874    	1001.690    	0.050    
626.715    	1001.687    	0.053    
645.080    	1001.732    	0.044    
663.982    	1001.563    	0.062    
683.438    	1001.454    	0.038    
703.464    	1001.847    	0.043    
724.077    	1001.679    	0.050    
745.294    	1001.507    	0.052    
767.133    	1001.478    	0.056    
789.612    	1001.401    	0.074    
812.749    	1001.702    	0.071    
836.565    	1001.707    	0.077    
861.078    	1001.404    	0.067    
886.309    	1001.453    	0.078    
912.280    	1001.320    	0.080    
939.012    	1001.341    	0.082    
966.527    	1001.165    	0.064    
994.849    	1001.593    	0.065    
1024.000    	1001.420    	0.072    
1054.005    	1001.355    	0.096    
1084.890    	1001.650    	0.084    
1116.680    	1001.576    	0.097    
1149.401    	1001.438    	0.086    
1183.081    	1001.728    	0.082    
1217.748    	1001.606    	0.099    
1253.431    	1001.457    	0.093    
1290.159    	1001.449    	0.116    
1327.964    	1001.576    	0.124    
1366.876    	1001.393    	0.118    
1406.929    	1001.418    	0.121    
1448.155    	1001.488    	0.096    
1490.589    	1001.379    	0.125    
1534.266    	1001.304    	0.130    
1579.224    	1001.490    	0.114    
1625.499    	1001.411    	0.114    
1673.129    	1001.314    	0.139    
1722.156    	1001.264    	0.136    
1772.619    	1001.476    	0.143    
1824.561    	1001.429    	0.140    
1878.024    	1001.311    	0.133    
1933.055    	1001.314    	0.141    
1989.697    	1001.227    	0.140    
2048.000    	1001.266    	0.146    
2108.011    	1001.251    	0.174    
2169.780    	1001.219    	0.164    
2233.360    	1001.114    	0.164    
2298.802    	1000.927    	0.166    
2366.162    	1001.376    	0.182    
2435.496    	1001.044    	0.197    
2506.862    	1000.928    	0.198    
2580.318    	1001.044    	0.197    
2655.927    	1000.740    	0.195    
2733.752    	1000.914    	0.192    
2813.857    	1000.597    	0.215    
2896.309    	1000.789    	0.239    
2981.178    	1001.041    	0.223    
3068.533    	1001.106    	0.218    
3158.448    	1000.853    	0.245    
3250.997    	1000.692    	0.246    
3346.259    	1000.793    	0.254    
3444.312    	1000.890    	0.253    
3545.238    	1000.915    	0.297    
3649.121    	1000.629    	0.275    
3756.049    	1000.521    	0.290    
3866.109    	1000.225    	0.311    
3979.395    	1000.451    	0.323    
4096.000    	1000.078    	0.321    
4216.022    	1000.194    	0.330    
4339.561    	1000.207    	0.326    
4466.720    	999.921    	0.353    
4597.605    	999.770    	0.344    
4732.325    	999.874    	0.356    
4870.992    	999.575    	0.394    
5013.723    	999.612    	0.385    
5160.637    	999.631    	0.398    
5311.855    	999.669    	0.410    
5467.504    	999.605    	0.428    
5627.714    	999.197    	0.432    
5792.619    	998.866    	0.428    
5962.355    	998.609    	0.451    
6137.066    	998.523    	0.455    
6316.896    	998.726    	0.500    
6501.995    	998.208    	0.486    
6692.518    	998.185    	0.503    
6888.623    	997.874    	0.526    
7090.476    	997.331    	0.570    
7298.242    	997.414    	0.588    
7512.097    	997.459    	0.571    
7732.218    	996.789    	0.576    
7958.790    	996.734    	0.613    
8192.000    	996.549    	0.637    
8432.044    	996.065    	0.661    
8679.122    	995.917    	0.650    
8933.439    	995.233    	0.673    
9195.209    	994.871    	0.697    
9464.649    	994.547    	0.739    
9741.985    	994.373    	0.742    
10027.447    	993.955    	0.743    
10321.273    	993.439    	0.775    
10623.710    	992.973    	0.811    
10935.008    	992.113    	0.832    
11255.428    	991.787    	0.867    
11585.238    	991.161    	0.886    
11924.711    	990.423    	0.890    
12274.132    	989.912    	0.914    
12633.791    	989.112    	0.934    
13003.989    	988.481    	0.990    
13385.035    	987.645    	1.006    
13777.247    	986.858    	1.035    
14180.951    	985.833    	1.062    
14596.485    	985.086    	1.094    
15024.194    	984.257    	1.120    
15464.437    	983.311    	1.171    
15917.579    	982.012    	1.201    
16384.000    	980.629    	1.233    
16864.088    	979.727    	1.262    
17358.243    	978.268    	1.278    
17866.879    	976.610    	1.361    
18390.418    	974.616    	1.406    
18929.299    	972.710    	1.406    
19483.969    	970.198    	1.427    
20054.893    	968.436    	1.512    
20642.546    	966.299    	1.568    
