* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	0	[Ohms]
Fs   	0	[Hz]
Zm   	0	[Ohms]
BL   	0	[N/A]
Qms  	0
Qes  	0
Qts  	0
Vas  	0 	[liters]
L10k 	0	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
263.501    	0.007    	-0.116    
271.223    	0.008    	-0.318    
279.170    	0.008    	-0.280    
287.350    	0.007    	-0.077    
295.770    	0.008    	-0.072    
304.437    	0.008    	-0.195    
313.358    	0.008    	-0.115    
322.540    	0.007    	0.061    
331.991    	0.007    	0.106    
341.719    	0.008    	-0.045    
351.732    	0.008    	-0.094    
362.039    	0.008    	0.002    
372.647    	0.007    	-0.017    
383.567    	0.008    	-0.054    
394.806    	0.008    	-0.031    
406.375    	0.008    	-0.015    
418.282    	0.008    	-0.022    
430.539    	0.008    	0.002    
443.155    	0.006    	-0.073    
456.140    	0.007    	-0.074    
469.506    	0.009    	0.016    
483.264    	0.009    	0.009    
497.424    	0.009    	-0.101    
512.000    	0.009    	-0.101    
527.003    	0.010    	-0.178    
542.445    	0.010    	-0.141    
558.340    	0.009    	-0.023    
574.701    	0.009    	0.020    
591.541    	0.009    	0.129    
608.874    	0.009    	0.158    
626.715    	0.008    	0.019    
645.080    	0.008    	-0.075    
663.982    	0.009    	0.027    
683.438    	0.010    	0.100    
703.464    	0.010    	0.057    
724.077    	0.010    	-0.094    
745.294    	0.010    	-0.099    
767.133    	0.011    	-0.087    
789.612    	0.012    	-0.002    
812.749    	0.012    	-0.039    
836.565    	0.011    	-0.123    
861.078    	0.011    	-0.113    
886.309    	0.011    	-0.087    
912.280    	0.011    	-0.180    
939.012    	0.011    	-0.132    
966.527    	0.014    	0.151    
994.849    	0.016    	0.219    
1024.000    	0.015    	0.056    
1054.005    	0.011    	-0.140    
1084.890    	0.012    	-0.009    
1116.680    	0.013    	0.084    
1149.401    	0.014    	-0.038    
1183.081    	0.013    	-0.082    
1217.748    	0.012    	-0.078    
1253.431    	0.012    	-0.045    
1290.159    	0.014    	-0.094    
1327.964    	0.015    	-0.043    
1366.876    	0.015    	-0.052    
1406.929    	0.014    	0.027    
1448.155    	0.014    	0.043    
1490.589    	0.014    	0.073    
1534.266    	0.015    	0.061    
1579.224    	0.016    	0.051    
1625.499    	0.016    	0.006    
1673.129    	0.016    	-0.122    
1722.156    	0.015    	-0.164    
1772.619    	0.015    	-0.079    
1824.561    	0.016    	-0.063    
1878.024    	0.016    	-0.058    
1933.055    	0.017    	0.094    
1989.697    	0.018    	0.213    
2048.000    	0.019    	0.234    
2108.011    	0.018    	0.127    
2169.780    	0.018    	0.100    
2233.360    	0.018    	-0.137    
2298.802    	0.018    	-0.142    
2366.162    	0.018    	-0.016    
2435.496    	0.018    	0.076    
2506.862    	0.018    	0.219    
2580.318    	0.019    	0.198    
2655.927    	0.019    	-0.019    
2733.752    	0.020    	-0.111    
2813.857    	0.020    	-0.032    
2896.309    	0.021    	-0.006    
2981.178    	0.021    	-0.018    
3068.533    	0.021    	0.012    
3158.448    	0.020    	0.070    
3250.997    	0.020    	0.084    
3346.259    	0.021    	0.052    
3444.312    	0.021    	0.043    
3545.238    	0.021    	-0.022    
3649.121    	0.021    	-0.066    
3756.049    	0.022    	-0.029    
3866.109    	0.023    	-0.004    
3979.395    	0.024    	-0.013    
4096.000    	0.024    	0.041    
4216.022    	0.024    	0.058    
4339.561    	0.024    	0.000    
4466.720    	0.023    	-0.038    
4597.605    	0.024    	-0.027    
4732.325    	0.025    	0.045    
4870.992    	0.027    	0.000    
5013.723    	0.027    	0.011    
5160.637    	0.027    	0.021    
5311.855    	0.027    	0.024    
5467.504    	0.027    	0.042    
5627.714    	0.028    	0.071    
5792.619    	0.028    	0.021    
5962.355    	0.029    	-0.051    
6137.066    	0.030    	-0.044    
6316.896    	0.030    	-0.046    
6501.995    	0.030    	-0.039    
6692.518    	0.031    	-0.105    
6888.623    	0.031    	-0.129    
7090.476    	0.031    	-0.122    
7298.242    	0.031    	0.047    
7512.097    	0.033    	0.067    
7732.218    	0.033    	0.033    
7958.790    	0.033    	-0.120    
8192.000    	0.034    	-0.228    
8432.044    	0.035    	-0.182    
8679.122    	0.036    	0.015    
8933.439    	0.036    	0.218    
9195.209    	0.037    	0.209    
9464.649    	0.037    	0.086    
9741.985    	0.039    	0.038    
10027.447    	0.040    	0.052    
10321.273    	0.041    	0.183    
10623.710    	0.042    	0.145    
10935.008    	0.044    	0.036    
11255.428    	0.046    	0.093    
11585.238    	0.049    	0.010    
11924.711    	0.051    	-0.140    
12274.132    	0.055    	-0.060    
12633.791    	0.064    	-0.055    
13003.989    	0.069    	-0.063    
13385.035    	0.066    	0.193    
13777.247    	0.064    	0.191    
14180.951    	0.066    	0.145    
14596.485    	0.072    	0.023    
15024.194    	0.073    	0.103    
15464.437    	0.070    	0.199    
15917.579    	0.069    	0.127    
16384.000    	0.068    	0.017    
16864.088    	0.067    	-0.038    
17358.243    	0.078    	-0.175    
17866.879    	0.086    	0.005    
18390.418    	0.103    	0.122    
18929.299    	0.117    	-0.019    
19483.969    	0.132    	-0.140    
20054.893    	0.161    	0.041    
20642.546    	0.279    	0.649    
