9.0000E+03	2.6437E+01	1.0334E+01
9.0975E+03	2.6471E+01	1.0428E+01
9.1961E+03	2.6493E+01	1.0537E+01
9.2958E+03	2.6508E+01	1.0638E+01
9.3965E+03	2.6535E+01	1.0745E+01
9.4983E+03	2.6549E+01	1.0860E+01
9.6013E+03	2.6574E+01	1.0953E+01
9.7053E+03	2.6600E+01	1.1072E+01
9.8105E+03	2.6622E+01	1.1177E+01
9.9168E+03	2.6639E+01	1.1275E+01
1.0024E+04	2.6661E+01	1.1395E+01
1.0133E+04	2.6681E+01	1.1518E+01
1.0243E+04	2.6713E+01	1.1626E+01
1.0354E+04	2.6735E+01	1.1746E+01
1.0466E+04	2.6751E+01	1.1868E+01
1.0579E+04	2.6779E+01	1.1987E+01
1.0694E+04	2.6810E+01	1.2094E+01
1.0810E+04	2.6834E+01	1.2216E+01
1.0927E+04	2.6853E+01	1.2346E+01
1.1045E+04	2.6883E+01	1.2458E+01
1.1165E+04	2.6905E+01	1.2583E+01
1.1286E+04	2.6931E+01	1.2710E+01
1.1408E+04	2.6962E+01	1.2831E+01
1.1532E+04	2.6998E+01	1.2964E+01
1.1657E+04	2.7022E+01	1.3090E+01
1.1783E+04	2.7055E+01	1.3231E+01
1.1911E+04	2.7077E+01	1.3349E+01
1.2040E+04	2.7109E+01	1.3490E+01
1.2170E+04	2.7130E+01	1.3623E+01
1.2302E+04	2.7161E+01	1.3752E+01
1.2436E+04	2.7196E+01	1.3892E+01
1.2570E+04	2.7223E+01	1.4037E+01
1.2707E+04	2.7259E+01	1.4164E+01
1.2844E+04	2.7290E+01	1.4301E+01
1.2984E+04	2.7326E+01	1.4442E+01
1.3124E+04	2.7351E+01	1.4584E+01
1.3266E+04	2.7389E+01	1.4733E+01
1.3410E+04	2.7424E+01	1.4870E+01
1.3556E+04	2.7462E+01	1.5013E+01
1.3702E+04	2.7490E+01	1.5176E+01
1.3851E+04	2.7518E+01	1.5316E+01
1.4001E+04	2.7547E+01	1.5480E+01
1.4153E+04	2.7595E+01	1.5611E+01
1.4306E+04	2.7634E+01	1.5780E+01
1.4461E+04	2.7662E+01	1.5929E+01
1.4618E+04	2.7702E+01	1.6082E+01
1.4776E+04	2.7746E+01	1.6236E+01
1.4936E+04	2.7780E+01	1.6397E+01
1.5098E+04	2.7815E+01	1.6557E+01
1.5262E+04	2.7861E+01	1.6730E+01
