4.000000000000e+01 6.263560000000e+03 1.223900000000e+03
4.074800000000e+01 5.960220000000e+03 -2.630570000000e+02
4.151100000000e+01 5.549730000000e+03 1.277990000000e+03
4.228700000000e+01 5.647670000000e+03 3.513890000000e+01
4.307800000000e+01 4.744550000000e+03 8.515470000000e+02
4.388400000000e+01 5.170830000000e+03 1.525000000000e+03
4.470500000000e+01 5.838710000000e+03 -8.022880000000e+02
4.554100000000e+01 5.966950000000e+03 3.648880000000e+02
4.639300000000e+01 5.768710000000e+03 -7.012150000000e+02
4.726100000000e+01 5.027100000000e+03 1.629640000000e+02
4.814500000000e+01 6.946620000000e+03 8.528680000000e+01
4.904600000000e+01 4.831710000000e+03 -3.404310000000e+02
4.996300000000e+01 4.170470000000e+03 -4.229500000000e+02
5.089800000000e+01 4.183400000000e+03 3.864320000000e+02
5.185000000000e+01 3.230920000000e+03 -6.276340000000e+02
5.282000000000e+01 5.896650000000e+03 1.350760000000e+02
5.380800000000e+01 5.576190000000e+03 -6.981810000000e+02
5.481500000000e+01 5.796430000000e+03 3.631630000000e+02
5.584000000000e+01 6.216710000000e+03 7.188850000000e+02
5.688500000000e+01 4.940690000000e+03 2.711850000000e+01
5.794900000000e+01 5.344680000000e+03 5.465050000000e+02
5.903300000000e+01 5.492610000000e+03 3.189610000000e+01
6.013700000000e+01 5.388450000000e+03 3.759150000000e+02
6.126200000000e+01 5.620610000000e+03 2.060760000000e+02
6.240800000000e+01 4.912610000000e+03 4.360280000000e+02
6.357500000000e+01 5.356040000000e+03 -1.944750000000e+01
6.476500000000e+01 5.362720000000e+03 6.143890000000e+02
6.597600000000e+01 5.321090000000e+03 5.527380000000e+02
6.721000000000e+01 5.260670000000e+03 1.007550000000e+02
6.846800000000e+01 5.251530000000e+03 2.862730000000e+02
6.974900000000e+01 5.590180000000e+03 3.798910000000e+02
7.105300000000e+01 5.415540000000e+03 -5.858790000000e+01
7.238200000000e+01 5.351000000000e+03 5.317130000000e+02
7.373600000000e+01 5.364460000000e+03 2.536680000000e+02
7.511600000000e+01 5.215350000000e+03 3.448960000000e+02
7.652100000000e+01 5.321480000000e+03 4.070470000000e+02
7.795200000000e+01 5.533260000000e+03 3.201250000000e+00
7.941100000000e+01 5.089860000000e+03 -1.259830000000e+02
8.089600000000e+01 5.248860000000e+03 -1.151170000000e+02
8.241000000000e+01 5.224690000000e+03 4.232430000000e+02
8.395100000000e+01 5.281220000000e+03 -9.755190000000e+01
8.552200000000e+01 5.173140000000e+03 2.403280000000e+02
8.712100000000e+01 5.229570000000e+03 2.801840000000e+02
8.875100000000e+01 5.481010000000e+03 2.211040000000e+02
9.041100000000e+01 5.520350000000e+03 4.362220000000e+02
9.210300000000e+01 5.477240000000e+03 6.551820000000e+01
9.382600000000e+01 5.316330000000e+03 2.659650000000e+01
9.558100000000e+01 5.518130000000e+03 1.578350000000e+02
9.736900000000e+01 5.258810000000e+03 6.651810000000e+01
9.919000000000e+01 5.296320000000e+03 2.162460000000e+02
1.010500000000e+02 5.241730000000e+03 -2.013770000000e+02
1.029400000000e+02 5.394970000000e+03 1.799390000000e+02
1.048600000000e+02 5.242720000000e+03 2.352740000000e+02
1.068200000000e+02 5.287750000000e+03 3.663450000000e+01
1.088200000000e+02 5.232600000000e+03 1.802230000000e+02
1.108600000000e+02 5.435070000000e+03 5.417710000000e+02
1.129300000000e+02 5.185550000000e+03 -2.038970000000e+01
1.150400000000e+02 5.231100000000e+03 7.661190000000e+01
1.172000000000e+02 5.426130000000e+03 -1.860160000000e+02
1.193900000000e+02 5.456290000000e+03 2.573740000000e+02
1.216200000000e+02 5.382390000000e+03 1.381260000000e+02
1.239000000000e+02 5.360220000000e+03 1.589290000000e+02
1.262100000000e+02 5.290360000000e+03 1.657260000000e+02
1.285700000000e+02 5.291910000000e+03 1.810350000000e+02
1.309800000000e+02 5.233000000000e+03 2.732240000000e+02
1.334300000000e+02 5.437070000000e+03 1.463020000000e+02
1.359300000000e+02 5.342060000000e+03 3.980410000000e+01
1.384700000000e+02 5.279050000000e+03 1.943050000000e+02
1.410600000000e+02 5.447730000000e+03 1.830180000000e+02
1.437000000000e+02 5.365060000000e+03 2.898480000000e+02
1.463900000000e+02 5.400680000000e+03 1.947180000000e+02
1.491300000000e+02 5.530260000000e+03 2.371570000000e+02
1.519100000000e+02 5.548660000000e+03 3.494490000000e+01
1.547600000000e+02 5.409520000000e+03 1.107470000000e+02
1.576500000000e+02 5.491130000000e+03 9.986650000000e+01
1.606000000000e+02 5.326250000000e+03 3.126010000000e+02
1.636000000000e+02 5.293210000000e+03 8.618110000000e+01
1.666700000000e+02 5.231110000000e+03 2.807990000000e+02
1.697800000000e+02 5.402150000000e+03 2.378420000000e+01
1.729600000000e+02 5.272630000000e+03 1.800860000000e+02
1.762000000000e+02 5.255810000000e+03 -9.018960000000e+01
1.794900000000e+02 5.459950000000e+03 -2.079120000000e+01
1.828500000000e+02 5.216630000000e+03 -3.368440000000e+01
1.862700000000e+02 5.360560000000e+03 8.068580000000e+01
1.897500000000e+02 5.357080000000e+03 2.979340000000e+02
1.933000000000e+02 5.322140000000e+03 8.878330000000e+01
1.969200000000e+02 5.169620000000e+03 6.105770000000e+01
2.006000000000e+02 5.278010000000e+03 1.723490000000e+02
2.043600000000e+02 5.262530000000e+03 -6.582840000000e+01
2.081800000000e+02 5.342880000000e+03 1.439520000000e+02
2.120700000000e+02 5.445540000000e+03 1.852240000000e+02
2.160400000000e+02 5.295110000000e+03 2.562180000000e+01
