% * This data was exported from the Dayton Audio Test System: DATS
% *
% D    	130	[mm]
% Re   	4.406	[Ohms]
% Fs   	55.15	[Hz]
% Zm   	10.62	[Ohms]
% BL   	3.45	[N/A]
% Qms  	3.155
% Qes  	2.238
% Qts  	1.309
% Vas  	11.81 	[liters]
% L10k 	0.2693	[mH]
% n0   	0.08436	[%]
% dBSPL  	81.36	[1W/1m]
% Ms   	17.45	[grams]
% Cms  	0.477	[mm/N]
% *
% *
% Freq            Impedance       Phase
1.029    	4.425    	0.673    
1.059    	4.425    	0.673    
1.091    	4.425    	0.673    
1.122    	4.425    	0.673    
1.155    	4.425    	0.673    
1.189    	4.425    	0.673    
1.224    	4.425    	0.673    
1.260    	4.425    	0.673    
1.297    	4.425    	0.673    
1.335    	4.417    	0.763    
1.374    	4.417    	0.763    
1.414    	4.417    	0.763    
1.456    	4.417    	0.763    
1.498    	4.417    	0.763    
1.542    	4.417    	0.763    
1.587    	4.417    	0.763    
1.634    	4.417    	0.763    
1.682    	4.411    	0.853    
1.731    	4.411    	0.853    
1.782    	4.411    	0.853    
1.834    	4.411    	0.853    
1.888    	4.411    	0.853    
1.943    	4.411    	0.853    
2.000    	4.411    	0.968    
2.059    	4.411    	0.968    
2.119    	4.411    	0.968    
2.181    	4.411    	0.968    
2.245    	4.411    	0.968    
2.311    	4.411    	0.968    
2.378    	4.414    	1.125    
2.448    	4.414    	1.125    
2.520    	4.414    	1.125    
2.594    	4.414    	1.125    
2.670    	4.415    	1.326    
2.748    	4.415    	1.326    
2.828    	4.415    	1.326    
2.911    	4.415    	1.326    
2.997    	4.414    	1.533    
3.084    	4.414    	1.533    
3.175    	4.414    	1.533    
3.268    	4.414    	1.533    
3.364    	4.422    	1.730    
3.462    	4.422    	1.730    
3.564    	4.422    	1.730    
3.668    	4.427    	1.911    
3.775    	4.427    	1.911    
3.886    	4.427    	1.911    
4.000    	4.436    	2.079    
4.117    	4.436    	2.079    
4.238    	4.436    	2.079    
4.362    	4.435    	2.243    
4.490    	4.435    	2.243    
4.621    	4.435    	2.243    
4.757    	4.435    	2.407    
4.896    	4.435    	2.407    
5.040    	4.432    	2.560    
5.187    	4.432    	2.560    
5.339    	4.433    	2.705    
5.496    	4.433    	2.705    
5.657    	4.439    	2.849    
5.823    	4.439    	2.849    
5.993    	4.448    	3.006    
6.169    	4.448    	3.006    
6.350    	4.457    	3.180    
6.536    	4.457    	3.180    
6.727    	4.465    	3.355    
6.924    	4.465    	3.355    
7.127    	4.471    	3.529    
7.336    	4.474    	3.701    
7.551    	4.474    	3.701    
7.772    	4.473    	3.868    
8.000    	4.472    	4.032    
8.234    	4.472    	4.032    
8.476    	4.472    	4.195    
8.724    	4.476    	4.359    
8.980    	4.481    	4.523    
9.243    	4.481    	4.523    
9.514    	4.485    	4.684    
9.792    	4.489    	4.848    
10.079    	4.492    	5.028    
10.375    	4.495    	5.214    
10.679    	4.499    	5.394    
10.992    	4.503    	5.565    
11.314    	4.507    	5.731    
11.645    	4.512    	5.899    
11.986    	4.516    	6.069    
12.338    	4.520    	6.236    
12.699    	4.524    	6.403    
13.071    	4.528    	6.578    
13.454    	4.532    	6.761    
13.849    	4.537    	6.944    
14.254    	4.542    	7.120    
14.672    	4.551    	7.372    
15.102    	4.562    	7.627    
15.545    	4.569    	7.793    
16.000    	4.579    	8.032    
16.469    	4.590    	8.277    
16.951    	4.600    	8.544    
17.448    	4.609    	8.817    
17.959    	4.618    	9.096    
18.486    	4.629    	9.376    
19.027    	4.640    	9.656    
19.585    	4.654    	10.029    
20.159    	4.667    	10.313    
20.749    	4.679    	10.610    
21.357    	4.698    	11.012    
21.983    	4.715    	11.411    
22.627    	4.731    	11.793    
23.290    	4.753    	12.163    
23.973    	4.777    	12.534    
24.675    	4.802    	12.907    
25.398    	4.825    	13.326    
26.143    	4.849    	13.756    
26.909    	4.885    	14.325    
27.697    	4.924    	14.897    
28.509    	4.957    	15.349    
29.344    	5.000    	15.920    
30.204    	5.055    	16.586    
31.089    	5.110    	17.135    
32.000    	5.170    	17.716    
32.938    	5.240    	18.340    
33.903    	5.323    	19.043    
34.896    	5.413    	19.818    
35.919    	5.511    	20.667    
36.971    	5.624    	21.573    
38.055    	5.759    	22.472    
39.170    	5.953    	23.432    
40.317    	6.187    	24.259    
41.499    	6.461    	24.846    
42.715    	6.783    	25.139    
43.967    	7.146    	25.059    
45.255    	7.609    	24.459    
46.581    	8.109    	23.318    
47.946    	8.619    	21.585    
49.351    	9.142    	19.181    
50.797    	9.690    	15.625    
52.285    	10.158    	11.280    
53.817    	10.491    	6.241    
55.394    	10.594    	0.225    
57.018    	10.385    	-5.180    
58.688    	9.921    	-9.880    
60.408    	9.204    	-14.187    
62.178    	8.523    	-16.781    
64.000    	8.008    	-17.856    
65.875    	7.574    	-18.191    
67.806    	7.187    	-18.206    
69.792    	6.874    	-18.133    
71.838    	6.628    	-18.128    
73.943    	6.418    	-17.954    
76.109    	6.223    	-17.655    
78.339    	6.031    	-17.478    
80.635    	5.854    	-17.278    
82.998    	5.690    	-16.758    
85.430    	5.539    	-15.850    
87.933    	5.405    	-14.918    
90.510    	5.323    	-14.244    
93.162    	5.267    	-13.655    
95.892    	5.189    	-12.900    
98.701    	5.110    	-12.026    
101.594    	5.045    	-11.159    
104.571    	4.974    	-10.256    
107.635    	4.917    	-9.509    
110.789    	4.883    	-8.700    
114.035    	4.852    	-7.805    
117.377    	4.825    	-7.072    
120.816    	4.813    	-6.181    
124.356    	4.775    	-5.389    
128.000    	4.756    	-4.794    
