   0.40000E+02   0.83337E+05  -0.34290E+05
   0.40748E+02   0.87491E+05  -0.33521E+05
   0.41511E+02   0.84442E+05  -0.34682E+05
   0.42287E+02   0.84950E+05  -0.35214E+05
   0.43078E+02   0.85871E+05  -0.32184E+05
   0.43884E+02   0.86241E+05  -0.30321E+05
   0.44705E+02   0.86069E+05  -0.29772E+05
   0.45541E+02   0.83624E+05  -0.31594E+05
   0.46393E+02   0.84828E+05  -0.31800E+05
   0.47261E+02   0.85445E+05  -0.30090E+05
   0.48145E+02   0.86234E+05  -0.29637E+05
   0.49046E+02   0.84901E+05  -0.29726E+05
   0.49963E+02   0.83419E+05  -0.27985E+05
   0.50898E+02   0.84047E+05  -0.27839E+05
   0.51850E+02   0.85318E+05  -0.27351E+05
   0.52820E+02   0.85228E+05  -0.26028E+05
   0.53808E+02   0.85156E+05  -0.27088E+05
   0.54815E+02   0.84624E+05  -0.25902E+05
   0.55840E+02   0.85540E+05  -0.25379E+05
   0.56885E+02   0.84694E+05  -0.25307E+05
   0.57949E+02   0.85382E+05  -0.24294E+05
   0.59033E+02   0.85024E+05  -0.23919E+05
   0.60137E+02   0.85099E+05  -0.23039E+05
   0.61262E+02   0.83930E+05  -0.23307E+05
   0.62408E+02   0.84868E+05  -0.23170E+05
   0.63575E+02   0.84867E+05  -0.22021E+05
   0.64765E+02   0.85460E+05  -0.22286E+05
   0.65976E+02   0.84865E+05  -0.20342E+05
   0.67210E+02   0.85233E+05  -0.20464E+05
   0.68468E+02   0.84860E+05  -0.19850E+05
   0.69749E+02   0.84584E+05  -0.20150E+05
   0.71053E+02   0.85167E+05  -0.19375E+05
   0.72382E+02   0.85209E+05  -0.19220E+05
   0.73736E+02   0.85254E+05  -0.18879E+05
   0.75116E+02   0.85085E+05  -0.18329E+05
   0.76521E+02   0.85673E+05  -0.18016E+05
   0.77952E+02   0.84987E+05  -0.17406E+05
   0.79411E+02   0.85288E+05  -0.17255E+05
   0.80896E+02   0.84992E+05  -0.17008E+05
   0.82410E+02   0.84987E+05  -0.16439E+05
   0.83951E+02   0.84607E+05  -0.16387E+05
   0.85522E+02   0.84990E+05  -0.15754E+05
   0.87121E+02   0.85477E+05  -0.15959E+05
   0.88751E+02   0.85573E+05  -0.15593E+05
   0.90411E+02   0.84940E+05  -0.14452E+05
   0.92103E+02   0.84671E+05  -0.14744E+05
   0.93826E+02   0.84474E+05  -0.14363E+05
   0.95581E+02   0.85508E+05  -0.13781E+05
   0.97369E+02   0.85604E+05  -0.13602E+05
   0.99190E+02   0.84570E+05  -0.13412E+05
   0.10105E+03   0.85346E+05  -0.13518E+05
   0.10294E+03   0.85039E+05  -0.13026E+05
   0.10486E+03   0.84583E+05  -0.12694E+05
   0.10682E+03   0.84936E+05  -0.12234E+05
   0.10882E+03   0.84892E+05  -0.11964E+05
   0.11086E+03   0.84815E+05  -0.11636E+05
   0.11293E+03   0.85013E+05  -0.11224E+05
   0.11504E+03   0.84787E+05  -0.11577E+05
   0.11720E+03   0.84916E+05  -0.11048E+05
   0.11939E+03   0.85350E+05  -0.10627E+05
   0.12162E+03   0.84892E+05  -0.10422E+05
   0.12390E+03   0.85242E+05  -0.10144E+05
   0.12621E+03   0.84640E+05  -0.98566E+04
